,Z,i,j,match,gamma
0,10,0,0,False,[0 0 0 0]
1,10,0,1,False,[0 0 0 0]
2,10,0,2,False,[0 0 0 0]
3,10,0,3,False,[0 0 0 1]
4,10,0,4,False,[0 0 0 0]
5,10,0,5,False,[0 0 0 0]
6,10,0,6,False,[0 0 1 0]
7,10,0,7,False,[0 1 0 1]
8,10,0,8,False,[0 1 1 0]
9,10,0,9,False,[0 0 0 0]
10,1,1,0,False,[0 0 0 0]
11,1,1,1,True,[1 1 1 1]
12,1,1,2,False,[0 0 0 0]
13,1,1,3,False,[0 0 0 0]
14,1,1,4,False,[0 0 0 0]
15,1,1,5,False,[0 0 0 0]
16,1,1,6,False,[0 0 0 0]
17,1,1,7,False,[0 0 0 0]
18,1,1,8,False,[0 0 0 0]
19,1,1,9,False,[0 0 0 1]
20,12,2,0,False,[0 0 0 0]
21,12,2,1,False,[0 0 0 0]
22,12,2,2,False,[0 0 0 0]
23,12,2,3,False,[0 0 0 0]
24,12,2,4,False,[1 0 0 0]
25,12,2,5,False,[0 0 0 1]
26,12,2,6,False,[1 0 0 0]
27,12,2,7,False,[0 0 0 0]
28,12,2,8,False,[0 0 0 0]
29,12,2,9,False,[1 0 1 0]
30,13,3,0,False,[0 0 0 0]
31,13,3,1,False,[0 0 0 0]
32,13,3,2,False,[0 0 0 0]
33,13,3,3,False,[0 0 0 0]
34,13,3,4,False,[0 0 0 0]
35,13,3,5,False,[0 1 0 0]
36,13,3,6,False,[0 0 0 0]
37,13,3,7,False,[0 0 0 0]
38,13,3,8,False,[0 0 0 0]
39,13,3,9,False,[0 0 0 0]
40,14,4,0,False,[0 0 0 0]
41,14,4,1,False,[0 0 0 0]
42,14,4,2,False,[0 0 0 0]
43,14,4,3,False,[0 0 0 0]
44,14,4,4,False,[0 0 0 1]
45,14,4,5,False,[0 0 0 0]
46,14,4,6,False,[0 0 0 0]
47,14,4,7,False,[0 0 0 0]
48,14,4,8,False,[0 0 0 0]
49,14,4,9,False,[0 0 0 0]
50,15,5,0,False,[0 0 0 0]
51,15,5,1,False,[0 0 0 0]
52,15,5,2,False,[0 0 0 0]
53,15,5,3,False,[1 0 0 0]
54,15,5,4,False,[0 0 0 0]
55,15,5,5,False,[1 1 0 0]
56,15,5,6,False,[1 0 1 0]
57,15,5,7,False,[0 0 0 0]
58,15,5,8,False,[0 0 0 0]
59,15,5,9,False,[0 0 0 1]
60,8,6,0,False,[0 0 0 0]
61,8,6,1,False,[0 0 0 0]
62,8,6,2,False,[0 0 1 0]
63,8,6,3,False,[0 0 0 0]
64,8,6,4,False,[0 0 0 0]
65,8,6,5,False,[0 0 1 0]
66,8,6,6,False,[0 0 0 0]
67,8,6,7,False,[0 0 0 0]
68,8,6,8,True,[1 1 1 1]
69,8,6,9,False,[0 1 0 1]
70,6,7,0,False,[1 0 0 0]
71,6,7,1,False,[0 0 0 0]
72,6,7,2,False,[0 0 0 0]
73,6,7,3,False,[0 0 0 0]
74,6,7,4,False,[0 0 0 0]
75,6,7,5,False,[0 0 0 0]
76,6,7,6,True,[1 1 0 0]
77,6,7,7,False,[0 1 0 0]
78,6,7,8,False,[0 0 0 0]
79,6,7,9,False,[0 0 0 0]
80,4,8,0,False,[0 1 0 1]
81,4,8,1,False,[0 0 0 0]
82,4,8,2,False,[0 0 0 0]
83,4,8,3,False,[0 0 0 0]
84,4,8,4,True,[0 1 1 1]
85,4,8,5,False,[0 0 0 0]
86,4,8,6,False,[0 0 0 0]
87,4,8,7,False,[0 0 0 0]
88,4,8,8,False,[0 0 0 0]
89,4,8,9,False,[0 0 1 0]
90,3,9,0,False,[1 0 0 0]
91,3,9,1,False,[0 0 0 0]
92,3,9,2,False,[0 0 0 1]
93,3,9,3,True,[1 1 1 1]
94,3,9,4,False,[0 0 0 0]
95,3,9,5,False,[0 0 0 0]
96,3,9,6,False,[0 1 0 0]
97,3,9,7,False,[0 0 1 1]
98,3,9,8,False,[0 0 0 0]
99,3,9,9,False,[0 0 0 0]
