,i,j,Z,match,gamma
0,0,0,13,False,[1 1]
1,0,1,13,False,[0 0]
2,0,2,13,False,[1 0]
3,0,3,13,False,[1 0]
4,0,4,13,False,[0 0]
5,0,5,13,False,[0 1]
6,0,6,13,False,[0 0]
7,0,7,13,False,[0 0]
8,0,8,13,False,[0 0]
9,0,9,13,False,[0 0]
10,0,10,13,False,[0 0]
11,0,11,13,False,[0 0]
12,0,12,13,False,[0 0]
13,0,13,13,True,[1 1]
14,0,14,13,False,[0 0]
15,0,15,13,False,[0 0]
16,0,16,13,False,[0 0]
17,0,17,13,False,[1 0]
18,0,18,13,False,[0 0]
19,0,19,13,False,[0 0]
20,1,0,21,False,[0 0]
21,1,1,21,False,[0 0]
22,1,2,21,False,[0 0]
23,1,3,21,False,[0 1]
24,1,4,21,False,[1 0]
25,1,5,21,False,[0 0]
26,1,6,21,False,[0 0]
27,1,7,21,False,[0 0]
28,1,8,21,False,[0 0]
29,1,9,21,False,[0 0]
30,1,10,21,False,[0 0]
31,1,11,21,False,[1 0]
32,1,12,21,False,[0 0]
33,1,13,21,False,[0 1]
34,1,14,21,False,[0 0]
35,1,15,21,False,[0 1]
36,1,16,21,False,[0 0]
37,1,17,21,False,[0 0]
38,1,18,21,False,[0 1]
39,1,19,21,False,[0 0]
40,2,0,11,False,[0 1]
41,2,1,11,False,[0 0]
42,2,2,11,False,[1 1]
43,2,3,11,False,[0 0]
44,2,4,11,False,[0 0]
45,2,5,11,False,[0 0]
46,2,6,11,False,[0 1]
47,2,7,11,False,[0 0]
48,2,8,11,False,[0 0]
49,2,9,11,False,[0 0]
50,2,10,11,False,[0 0]
51,2,11,11,True,[1 1]
52,2,12,11,False,[0 0]
53,2,13,11,False,[0 0]
54,2,14,11,False,[0 0]
55,2,15,11,False,[0 0]
56,2,16,11,False,[0 0]
57,2,17,11,False,[1 0]
58,2,18,11,False,[0 0]
59,2,19,11,False,[0 0]
60,3,0,18,False,[0 0]
61,3,1,18,False,[0 0]
62,3,2,18,False,[0 0]
63,3,3,18,False,[1 0]
64,3,4,18,False,[1 0]
65,3,5,18,False,[0 0]
66,3,6,18,False,[1 0]
67,3,7,18,False,[0 1]
68,3,8,18,False,[0 1]
69,3,9,18,False,[0 0]
70,3,10,18,False,[0 0]
71,3,11,18,False,[0 0]
72,3,12,18,False,[0 0]
73,3,13,18,False,[0 0]
74,3,14,18,False,[1 0]
75,3,15,18,False,[0 0]
76,3,16,18,False,[0 0]
77,3,17,18,False,[0 0]
78,3,18,18,True,[1 1]
79,3,19,18,False,[0 1]
80,4,0,24,False,[0 1]
81,4,1,24,False,[0 1]
82,4,2,24,False,[0 0]
83,4,3,24,False,[0 1]
84,4,4,24,False,[0 0]
85,4,5,24,False,[1 0]
86,4,6,24,False,[0 0]
87,4,7,24,False,[1 0]
88,4,8,24,False,[0 0]
89,4,9,24,False,[1 0]
90,4,10,24,False,[0 0]
91,4,11,24,False,[1 0]
92,4,12,24,False,[0 0]
93,4,13,24,False,[1 0]
94,4,14,24,False,[0 1]
95,4,15,24,False,[0 0]
96,4,16,24,False,[0 0]
97,4,17,24,False,[1 0]
98,4,18,24,False,[0 1]
99,4,19,24,False,[0 1]
100,5,0,1,False,[1 0]
101,5,1,1,True,[0 1]
