,i,j,Z,match,gamma
0,0,0,16,False,[0 0 0 0]
1,0,1,16,False,[0 0 0 0]
2,0,2,16,False,[1 1 0 0]
3,0,3,16,False,[0 0 0 0]
4,0,4,16,False,[0 0 0 0]
5,0,5,16,False,[0 1 0 0]
6,0,6,16,False,[0 0 0 0]
7,0,7,16,False,[0 0 0 0]
8,0,8,16,False,[0 0 0 0]
9,0,9,16,False,[0 0 0 0]
10,0,10,16,False,[1 1 0 1]
11,0,11,16,False,[0 0 0 0]
12,0,12,16,False,[0 0 0 0]
13,0,13,16,False,[0 0 1 0]
14,0,14,16,False,[0 1 0 1]
15,0,15,16,False,[0 0 0 0]
16,0,16,16,True,[1 1 1 1]
17,0,17,16,False,[0 0 0 0]
18,0,18,16,False,[0 0 0 0]
19,0,19,16,False,[0 0 0 0]
20,1,0,1,False,[1 0 0 0]
21,1,1,1,True,[1 1 1 1]
22,1,2,1,False,[0 0 0 0]
23,1,3,1,False,[0 0 0 0]
24,1,4,1,False,[0 1 0 0]
25,1,5,1,False,[0 0 0 0]
26,1,6,1,False,[1 0 1 0]
27,1,7,1,False,[0 0 1 0]
28,1,8,1,False,[1 0 1 0]
29,1,9,1,False,[1 1 0 0]
30,1,10,1,False,[0 0 0 0]
31,1,11,1,False,[0 0 0 0]
32,1,12,1,False,[0 1 0 0]
33,1,13,1,False,[0 0 0 1]
34,1,14,1,False,[0 0 0 0]
35,1,15,1,False,[0 1 0 0]
36,1,16,1,False,[0 0 0 1]
37,1,17,1,False,[0 1 0 0]
38,1,18,1,False,[0 0 0 0]
39,1,19,1,False,[1 0 0 0]
40,2,0,6,False,[0 0 0 0]
41,2,1,6,False,[0 0 0 0]
42,2,2,6,False,[0 0 0 0]
43,2,3,6,False,[0 0 1 0]
44,2,4,6,False,[0 1 0 0]
45,2,5,6,False,[0 0 1 0]
46,2,6,6,True,[1 1 1 1]
47,2,7,6,False,[0 0 0 1]
48,2,8,6,False,[0 0 0 0]
49,2,9,6,False,[0 0 1 0]
50,2,10,6,False,[0 0 0 0]
51,2,11,6,False,[1 1 0 0]
52,2,12,6,False,[0 1 0 0]
