,Z,i,j,match,gamma
0,8,0,0,False,[1 0]
1,8,0,1,False,[1 1]
2,8,0,2,False,[1 0]
3,8,0,3,False,[0 1]
4,8,0,4,False,[1 0]
5,8,0,5,False,[0 0]
6,8,0,6,False,[0 0]
7,8,0,7,False,[1 1]
8,8,0,8,True,[1 1]
9,8,0,9,False,[0 0]
10,11,1,0,False,[1 0]
11,11,1,1,False,[1 1]
12,11,1,2,False,[1 1]
13,11,1,3,False,[1 1]
14,11,1,4,False,[1 0]
15,11,1,5,False,[1 0]
16,11,1,6,False,[1 0]
17,11,1,7,False,[0 0]
18,11,1,8,False,[0 0]
19,11,1,9,False,[0 1]
20,5,2,0,False,[0 1]
21,5,2,1,False,[1 1]
22,5,2,2,False,[0 0]
23,5,2,3,False,[0 0]
24,5,2,4,False,[0 1]
25,5,2,5,True,[0 0]
26,5,2,6,False,[0 0]
27,5,2,7,False,[0 0]
28,5,2,8,False,[1 1]
29,5,2,9,False,[0 0]
30,1,3,0,False,[0 1]
31,1,3,1,True,[1 1]
32,1,3,2,False,[0 1]
33,1,3,3,False,[0 1]
34,1,3,4,False,[1 1]
35,1,3,5,False,[0 1]
36,1,3,6,False,[1 0]
37,1,3,7,False,[1 1]
38,1,3,8,False,[0 0]
39,1,3,9,False,[0 1]
40,14,4,0,False,[1 0]
41,14,4,1,False,[1 0]
42,14,4,2,False,[0 1]
43,14,4,3,False,[1 1]
44,14,4,4,False,[1 0]
45,14,4,5,False,[1 0]
46,14,4,6,False,[0 0]
47,14,4,7,False,[0 0]
48,14,4,8,False,[1 0]
49,14,4,9,False,[0 0]
50,7,5,0,False,[1 1]
51,7,5,1,False,[1 1]
52,7,5,2,False,[1 0]
53,7,5,3,False,[1 1]
54,7,5,4,False,[0 0]
55,7,5,5,False,[1 0]
56,7,5,6,False,[0 0]
57,7,5,7,True,[1 1]
58,7,5,8,False,[0 1]
59,7,5,9,False,[0 0]
60,16,6,0,False,[1 0]
61,16,6,1,False,[0 0]
62,16,6,2,False,[1 1]
63,16,6,3,False,[0 1]
64,16,6,4,False,[0 0]
65,16,6,5,False,[0 0]
66,16,6,6,False,[1 0]
67,16,6,7,False,[0 0]
68,16,6,8,False,[1 0]
69,16,6,9,False,[1 0]
70,2,7,0,False,[1 0]
71,2,7,1,False,[0 1]
72,2,7,2,True,[1 0]
73,2,7,3,False,[0 0]
74,2,7,4,False,[1 1]
75,2,7,5,False,[0 1]
76,2,7,6,False,[1 1]
77,2,7,7,False,[1 1]
78,2,7,8,False,[1 1]
79,2,7,9,False,[1 0]
80,18,8,0,False,[1 1]
81,18,8,1,False,[0 1]
82,18,8,2,False,[1 0]
83,18,8,3,False,[1 0]
84,18,8,4,False,[1 1]
85,18,8,5,False,[0 0]
86,18,8,6,False,[1 0]
87,18,8,7,False,[0 1]
88,18,8,8,False,[0 1]
89,18,8,9,False,[0 0]
90,19,9,0,False,[1 0]
91,19,9,1,False,[0 0]
92,19,9,2,False,[1 0]
93,19,9,3,False,[0 1]
94,19,9,4,False,[0 1]
95,19,9,5,False,[0 0]
96,19,9,6,False,[0 1]
97,19,9,7,False,[1 1]
98,19,9,8,False,[0 0]
99,19,9,9,False,[0 0]
